material,composition,certifications,repair_history,end_of_life
Seat Fabric A,Wool/Polyester 70/30,FAA Flammability Approved,Reupholstered 2022,Recycle textile fraction, incinerate residue
Seat Fabric B,Nylon/Polyester 60/40,FAR 25.853 Compliant,Reupholstered 2021,Recycle textile fraction
Plastic Panel C,Polycarbonate,Smoke/Toxicity Tested,Minor scratches repaired 2020,Shred and recycle
Composite Panel D,Carbon fiber reinforced plastic,FAA Flammability Approved,Installed 2023,Incinerate residue
Overhead Bin E,Aluminum/Plastic composite,Smoke/Toxicity Tested,Routine maintenance 2021,Recycle aluminum, shred plastics
Carpet F,Nylon 100%,FAR 25.853 Compliant,Replaced 2019,Recycle textile fraction
Seat Cushion G,Foam/PVC Cover,FAA Flammability Approved,Reupholstered 2020,Incinerate foam, recycle cover
Wall Panel H,Fiberglass composite,Smoke/Toxicity Tested,Repaired 2022,Shred and recycle
Tray Table I,ABS Plastic,FAR 25.853 Compliant,Minor scratches 2021,Shred and recycle
Window Shade J,Polycarbonate,FAA Flammability Approved,Replaced 2022,Recycle plastic
Curtain K,Polyester 100%,Smoke Tested 2020,Replaced 2021,Recycle textile fraction
Light Panel L,Acrylic,FAR 25.853 Compliant,Replaced 2022,Recycle acrylic
Galleys M,Stainless steel/Aluminum,FAA Fire Safety Compliant,Routine maintenance 2023,Recycle metals
Lavatory N,ABS Plastic/Composite,Smoke/Toxicity Tested,Repaired 2021,Shred and recycle
Flooring O,Composite flooring with anti-slip,FAR 25.853 Compliant,Replaced 2020,Recycle composite, incinerate residue
